,sentiment,news,sentiment_encoded,sentiment_transformer,sentiment_transformer_score,sent_trans_NEUTRAL_SCORE,combine
30,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",2,NEGATIVE,0.7142795920372009,neutral,neutral
31,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,POSITIVE,0.9778839349746704,neutral,neutral
32,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,POSITIVE,0.9858426451683044,neutral,neutral
33,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,POSITIVE,0.8950632810592651,neutral,neutral
34,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,POSITIVE,0.9681306481361389,neutral,neutral
35,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,NEGATIVE,0.9851531982421875,neutral,neutral
36,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2,POSITIVE,0.7454659938812256,neutral,neutral
37,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",2,NEGATIVE,0.9217898845672607,neutral,neutral
38,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,POSITIVE,0.8175283670425415,neutral,neutral
39,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,NEGATIVE,0.6528505086898804,neutral,neutral
40,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,POSITIVE,0.8939256072044373,neutral,neutral
41,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,NEGATIVE,0.9489728808403015,neutral,neutral
42,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",2,NEGATIVE,0.7158461809158325,neutral,neutral
43,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",2,NEGATIVE,0.995272696,,positive
44,positive,Sales have risen in other export markets .,2,POSITIVE,0.9956150054931641,,positive
45,positive,Sales increased due to growing market rates and increased operations .,2,POSITIVE,0.9995273351669312,,positive
46,positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2,POSITIVE,0.9995468258857727,,positive
47,positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",2,POSITIVE,0.7467783093452454,neutral,neutral
48,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,2,POSITIVE,0.8954821228981018,neutral,neutral
49,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2,NEGATIVE,0.9947367310523987,,positive
50,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2,POSITIVE,0.9968089461326599,,positive
51,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,NEGATIVE,0.5084637403488159,neutral,neutral
52,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",2,POSITIVE,0.9907570481300354,,positive
53,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,NEGATIVE,0.6794369220733643,neutral,neutral
54,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2,POSITIVE,0.7028365135192871,neutral,neutral
55,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2,POSITIVE,0.8335053324699402,neutral,neutral
56,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,NEGATIVE,0.9795534610748291,neutral,neutral
57,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2,NEGATIVE,0.990114689,,positive
58,neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,POSITIVE,0.8815677165985107,neutral,neutral
59,neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",1,NEGATIVE,0.9986155033111572,,neutral
60,neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,1,POSITIVE,0.9996318817138672,,neutral
61,neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",1,POSITIVE,0.9939980506896973,,neutral
62,neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",1,NEGATIVE,0.6386178135871887,neutral,neutral
63,positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",2,NEGATIVE,0.9801848530769348,neutral,neutral
64,neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",1,POSITIVE,0.9434240460395813,neutral,neutral
65,positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",2,NEGATIVE,0.5998538732528687,neutral,neutral
66,positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,2,NEGATIVE,0.975307822,neutral,neutral
67,neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,1,NEGATIVE,0.9823549389839172,neutral,neutral
68,positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",2,NEGATIVE,0.8325097560882568,neutral,neutral
69,neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,1,NEGATIVE,0.920514703,neutral,neutral
70,positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",2,NEGATIVE,0.9902100563049316,,positive
71,neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",1,POSITIVE,0.9983028173446655,,neutral
72,neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,NEGATIVE,0.9903417825698853,,neutral
73,neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",1,POSITIVE,0.733760655,neutral,neutral
74,neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",1,NEGATIVE,0.584595799,neutral,neutral
75,neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",1,NEGATIVE,0.9973716735839844,,neutral
76,neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",1,POSITIVE,0.667797863,neutral,neutral
77,positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",2,POSITIVE,0.8341714143753052,neutral,neutral
78,neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,1,NEGATIVE,0.9818799495697021,neutral,neutral
79,positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,2,NEGATIVE,0.9818799495697021,neutral,neutral
80,neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",1,NEGATIVE,0.9587079286575317,neutral,neutral
81,neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,1,NEGATIVE,0.9837677478790283,neutral,neutral
82,neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1,POSITIVE,0.8780364990234375,neutral,neutral
83,positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,2,POSITIVE,0.907965899,neutral,neutral
84,positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",2,POSITIVE,0.9996159076690674,,positive
85,neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,1,NEGATIVE,0.9682960510253906,neutral,neutral
86,positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",2,NEGATIVE,0.999512792,,positive
87,positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2,POSITIVE,0.9994982481002808,,positive
88,positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2,NEGATIVE,0.8373875021934509,neutral,neutral
89,positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2,POSITIVE,0.9969720840454102,,positive
90,positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2,POSITIVE,0.9993711113929749,,positive
91,positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",2,POSITIVE,0.9966624975204468,,positive
92,positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2,NEGATIVE,0.9710733890533447,neutral,neutral
93,positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,NEGATIVE,0.9752652049064636,neutral,neutral
94,positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2,NEGATIVE,0.8346408009529114,neutral,neutral
95,positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2,NEGATIVE,0.9106913208961487,neutral,neutral
96,positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,POSITIVE,0.8694755434989929,neutral,neutral
97,positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2,POSITIVE,0.9326620697975159,neutral,neutral
98,positive,An individual promotion also generated slightly higher-than-expected revenues .,2,POSITIVE,0.9975874423980713,,positive
99,positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2,POSITIVE,0.9984092116355896,,positive
100,positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2,POSITIVE,0.8388717770576477,neutral,neutral
101,positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2,POSITIVE,0.9963717460632324,,positive
102,positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,2,POSITIVE,0.9328980445861816,neutral,neutral
103,positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2,POSITIVE,0.9435433745384216,neutral,neutral
104,positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,2,POSITIVE,0.9971444010734558,,positive
105,positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,POSITIVE,0.9976996779441833,,positive
106,positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2,NEGATIVE,0.9695248007774353,neutral,neutral
107,positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",2,POSITIVE,0.6806803941726685,neutral,neutral
108,positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2,POSITIVE,0.5788329243659973,neutral,neutral
109,positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",2,POSITIVE,0.869024932,neutral,neutral
110,neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,1,NEGATIVE,0.8298174738883972,neutral,neutral
111,positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,POSITIVE,0.9573429226875305,neutral,neutral
112,positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2,POSITIVE,0.8686814904212952,neutral,neutral
113,positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2,NEGATIVE,0.6163434386253357,neutral,neutral
114,positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2,NEGATIVE,0.5290905833244324,neutral,neutral
115,positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",2,NEGATIVE,0.9958199262619019,,positive
116,positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,NEGATIVE,0.7316359281539917,neutral,neutral
117,positive,Operating profit margin increased from 11.2 % to 11.7 % .,2,POSITIVE,0.9663451910018921,neutral,neutral
118,positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,2,NEGATIVE,0.9579010605812073,neutral,neutral
119,positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2,NEGATIVE,0.9857090711593628,neutral,neutral
120,positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2,NEGATIVE,0.9838712215423584,neutral,neutral
121,positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",2,POSITIVE,0.7356345653533936,neutral,neutral
122,positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",2,POSITIVE,0.9339963793754578,neutral,neutral
123,positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,2,NEGATIVE,0.51710391,neutral,neutral
124,positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",2,POSITIVE,0.9987624883651733,,positive
125,positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,2,POSITIVE,0.9975009560585022,,positive
126,positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,2,POSITIVE,0.9828304052352905,neutral,neutral
127,positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",2,NEGATIVE,0.9921298623085022,,positive
128,positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2,NEGATIVE,0.9850482940673828,neutral,neutral
129,positive,The Department Store Division reported an increase in sales of 4 per cent .,2,POSITIVE,0.9791311025619507,neutral,neutral
130,positive,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2,POSITIVE,0.9525763392448425,neutral,neutral
131,positive,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2,POSITIVE,0.9973202347755432,,positive
132,positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,POSITIVE,0.9841326475143433,neutral,neutral
133,positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",2,POSITIVE,0.9967945218086243,,positive
134,positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2,POSITIVE,0.7452964782714844,neutral,neutral
135,positive,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",2,POSITIVE,0.9974126219749451,,positive
136,positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",2,POSITIVE,0.9917997717857361,,positive
137,positive,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',2,POSITIVE,0.9956943988800049,,positive
138,positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2,NEGATIVE,0.933941126,neutral,neutral
139,neutral,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .",1,NEGATIVE,0.8769086599349976,neutral,neutral
140,positive,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2,NEGATIVE,0.9443660378456116,neutral,neutral
141,positive,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,2,POSITIVE,0.7644158005714417,neutral,neutral
142,positive,Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2,NEGATIVE,0.9510230422019958,neutral,neutral
143,positive,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2,NEGATIVE,0.937777579,neutral,neutral
144,positive,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,2,NEGATIVE,0.8299803137779236,neutral,neutral
145,positive,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2,POSITIVE,0.9936869740486145,,positive
146,positive,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,2,NEGATIVE,0.8983104228973389,neutral,neutral
147,positive,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,2,NEGATIVE,0.7274273633956909,neutral,neutral
148,positive,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",2,POSITIVE,0.9528313279151917,neutral,neutral
149,positive,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,2,POSITIVE,0.9920205473899841,,positive
150,positive,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,2,NEGATIVE,0.9959859251976013,,positive
151,positive,"According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2,POSITIVE,0.762088418,neutral,neutral
152,positive,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2,NEGATIVE,0.7735352516174316,neutral,neutral
153,positive,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",2,POSITIVE,0.9977449178695679,,positive
